Private: False
Epoch 0 | Batch 0 | Batch Loss 0.4237211585044861 | Average Loss 0.3852010531858964 | 8.699568835171787 ms/batch
Epoch 0 | Batch 1 | Batch Loss 0.34095735251903536 | Average Loss 0.36413262429691495 | 8.995646522158669 ms/batch
Epoch 0 | Batch 2 | Batch Loss 0.31294703483581543 | Average Loss 0.34762114382559256 | 9.91155255225397 ms/batch
Epoch 0 | Batch 3 | Batch Loss 0.2829014539718628 | Average Loss 0.3318358536173658 | 9.795235424506956 ms/batch
Epoch 0 | Batch 4 | Batch Loss 0.27225638180971146 | Average Loss 0.3201536042433159 | 10.16841682733274 ms/batch
Epoch 0 | Batch 5 | Batch Loss 0.2568682566285133 | Average Loss 0.3097789570933483 | 10.198342995565445 ms/batch
Epoch 1 | Batch 0 | Batch Loss 0.25382680296897886 | Average Loss 0.3018983720054089 | 10.632629125890597 ms/batch
Epoch 1 | Batch 1 | Batch Loss 0.26430469155311587 | Average Loss 0.29725717688784187 | 10.94445475825557 ms/batch
Epoch 1 | Batch 2 | Batch Loss 0.2573067516088486 | Average Loss 0.2928670202637767 | 10.885602825290555 ms/batch
Epoch 1 | Batch 3 | Batch Loss 0.2510216936469078 | Average Loss 0.28872391861854213 | 11.040359440416392 ms/batch
Epoch 1 | Batch 4 | Batch Loss 0.23728398233652115 | Average Loss 0.2840896901246664 | 10.980507275005719 ms/batch
Epoch 1 | Batch 5 | Batch Loss 0.26083928197622297 | Average Loss 0.2821681687900843 | 10.923811226836905 ms/batch
Epoch 2 | Batch 0 | Batch Loss 0.24817415773868562 | Average Loss 0.279573206114405 | 11.177967522890514 ms/batch
Epoch 2 | Batch 1 | Batch Loss 0.25359629690647123 | Average Loss 0.2777308721280267 | 11.189384663358648 ms/batch
Epoch 2 | Batch 2 | Batch Loss 0.2479211926460266 | Average Loss 0.27575672116895383 | 11.072627755979829 ms/batch
Epoch 2 | Batch 3 | Batch Loss 0.24865901172161103 | Average Loss 0.27407363362564063 | 11.11305278280507 ms/batch
Epoch 2 | Batch 4 | Batch Loss 0.2494804784655571 | Average Loss 0.2726354374174486 | 11.014206367626524 ms/batch
Epoch 2 | Batch 5 | Batch Loss 0.2528778940439224 | Average Loss 0.27154386043548584 | 11.048152301851557 ms/batch
Epoch 3 | Batch 0 | Batch Loss 0.2573492184281349 | Average Loss 0.270800685461279 | 11.080513449863613 ms/batch
Epoch 3 | Batch 1 | Batch Loss 0.23294582962989807 | Average Loss 0.26891735930051375 | 10.999761410613559 ms/batch
Epoch 3 | Batch 2 | Batch Loss 0.24374888390302657 | Average Loss 0.26772454056129635 | 11.044697738936726 ms/batch
Epoch 3 | Batch 3 | Batch Loss 0.2577630192041397 | Average Loss 0.26727379298857434 | 10.975938037509833 ms/batch
Epoch 3 | Batch 4 | Batch Loss 0.24957341253757476 | Average Loss 0.26650754275260036 | 10.909568695794968 ms/batch
Epoch 3 | Batch 5 | Batch Loss 0.2521201178431511 | Average Loss 0.265910554167146 | 10.941535110790205 ms/batch
Epoch 4 | Batch 0 | Batch Loss 0.2451580584049225 | Average Loss 0.26508376150729646 | 10.97531052699602 ms/batch
Epoch 4 | Batch 1 | Batch Loss 0.24486651122570038 | Average Loss 0.26430915421681384 | 11.01100399119644 ms/batch
Epoch 4 | Batch 2 | Batch Loss 0.2489867702126503 | Average Loss 0.263743752593044 | 11.027450491141568 ms/batch
Epoch 4 | Batch 3 | Batch Loss 0.2492395117878914 | Average Loss 0.2632275874398357 | 11.003149786029422 ms/batch
Epoch 4 | Batch 4 | Batch Loss 0.25027206391096113 | Average Loss 0.26278238044571633 | 11.056580494359597 ms/batch
Epoch 4 | Batch 5 | Batch Loss 0.24689545035362243 | Average Loss 0.262254575459268 | 11.03643800729137 ms/batch
Epoch 5 | Batch 0 | Batch Loss 0.24532606601715087 | Average Loss 0.2617102503968205 | 11.093825772644239 ms/batch
Epoch 5 | Batch 1 | Batch Loss 0.25571914464235307 | Average Loss 0.26152361158827014 | 11.140506215556018 ms/batch
Epoch 5 | Batch 2 | Batch Loss 0.24662367403507232 | Average Loss 0.26107346241747864 | 11.117301318580651 ms/batch
Epoch 5 | Batch 3 | Batch Loss 0.24583520144224166 | Average Loss 0.26062659259415794 | 11.159843014132592 ms/batch
Epoch 5 | Batch 4 | Batch Loss 0.2463519036769867 | Average Loss 0.2602199063002214 | 11.156666312801871 ms/batch
Epoch 5 | Batch 5 | Batch Loss 0.2507846087217331 | Average Loss 0.2599585407163298 | 11.132844597348877 ms/batch
Epoch 6 | Batch 0 | Batch Loss 0.23770771473646163 | Average Loss 0.25935878799450046 | 11.22763600310868 ms/batch
Epoch 6 | Batch 1 | Batch Loss 0.25366082340478896 | Average Loss 0.25920923511813004 | 11.19639366630494 ms/batch
Epoch 6 | Batch 2 | Batch Loss 0.2513082608580589 | Average Loss 0.25900716416518704 | 11.206623843258908 ms/batch
